sales_date;order_id;product_name;category;price;quantity;total;discount;shipping_fee;total_sales;customer_name;customer_address;channel;rating;status
01/01/2025;P00001;Minyak Goreng;Makanan;18000;1;18000;15%;20000;35300;Shinta;Malang;Online - Toko Oren;5;Dikembalikan
01/01/2025;P00002;Kopi;Makanan;25000;3;75000;15%;22000;85750;Eli;Makassar;Offline;4;Gagal
01/01/2025;P00003;Deterjen;Pembersih;10000;3;30000;15%;25000;50500;Eka;Medan;Offline;1;Tertunda
01/01/2025;P00004;Minyak Goreng;Makanan;18000;1;18000;15%;20000;35300;Zenia;Surabaya;Online - Toko Oren;3;Tertunda
01/01/2025;P00005;Pasta Gigi;Perawatan;15000;3;45000;15%;12000;50250;Dicky;Bogor;Online - Toko Oren;1;Dikembalikan
01/01/2025;P00006;Minyak Goreng;Makanan;18000;3;54000;15%;22000;67900;Santi;Makassar;Online - Toko Oren;1;Tertunda
01/01/2025;P00007;Sabun Mandi;Pembersih;7000;3;21000;15%;25000;42850;Farhan;Medan;Offline;5;Gagal
01/01/2025;P00008;Pembersih Lantai;Pembersih;8000;1;8000;15%;22000;28800;Dewa;Makassar;Online - Toko Oren;1;Sukses
01/01/2025;P00009;Pasta Gigi;Perawatan;15000;3;45000;15%;30000;68250;Zara;Samarinda;Offline;5;Tertunda
01/01/2025;P00010;Shampo;Perawatan;20000;2;40000;15%;18000;52000;Putra;Yogyakarta;Online - Toko Hijau;5;Gagal
01/01/2025;P00011;Minyak Goreng;Makanan;18000;3;54000;15%;15000;60900;Nanda;Semarang;Offline;3;Dikembalikan
01/01/2025;P00012;Deterjen;Pembersih;10000;2;20000;15%;25000;42000;Iwan;Medan;Online - Toko Oren;2;Sukses
01/01/2025;P00013;Pasta Gigi;Perawatan;15000;1;15000;15%;18000;30750;Mutiara;Yogyakarta;Online - Toko Oren;5;Tertunda
01/01/2025;P00014;Pembersih Wajah;Perawatan;12000;2;24000;15%;22000;42400;Rian;Makassar;Offline;3;Dikembalikan
01/01/2025;P00015;Kopi;Makanan;25000;1;25000;15%;25000;46250;Mutiara;Medan;Offline;1;Sukses
01/01/2025;P00016;Minyak Goreng;Makanan;18000;3;54000;15%;25000;70900;Yusra;Bali;Offline;3;Sukses
